responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,onestop_block_level,onestop_paragraph_index,device,hand,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
33747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,14,2,7,8,68, floating ,488,272,1899439.5999999996,270.9125061035156,485.26251220703125,290.9125061035156,548.3125114440918,5,2,,,,,,,,,advanced,2,,,,,,2026-08-24T18:03:50.901Z,,2026-08-24,2026-08-24,13:03:50,2026-08-24 13:03:50,2026-08-24T18:46:37.954Z,2567053,,,,,,2026-08-24,13:46:37,2026-08-24 13:46:37,2567053
33747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,3,adv,14,2,7,8,68, floating ,524,263,,260.9125061035156,485.2625026702881,300.9125061035156,548.3125057220459,5,2,hover,67.40000000037253,67.40000000037253,0.04341787783046893,0.2771873474121094,164,,,advanced,2,,,,,,2026-08-24T18:03:50.901Z,,2026-08-24,2026-08-24,13:03:50,2026-08-24 13:03:50,2026-08-24T18:46:37.954Z,2567053,,,,,,2026-08-24,13:46:37,2026-08-24 13:46:37,2567053
33797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,14,2,7,8,67, before ,459,280,1899489.5,270.9125061035156,429.2124938964844,290.9125061035156,485.2624931335449,5,1,,,,,,,,,advanced,2,,,,,,2026-08-24T18:03:50.901Z,,2026-08-24,2026-08-24,13:03:50,2026-08-24 13:03:50,2026-08-24T18:46:37.954Z,2567053,,,,,,2026-08-24,13:46:37,2026-08-24 13:46:37,2567053
33847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,14,2,7,8,67, before ,447,284,1899539.6999999993,270.9125061035156,429.2124938964844,290.9125061035156,485.2624931335449,5,1,,,,,,,,,advanced,2,,,,,,2026-08-24T18:03:50.901Z,,2026-08-24,2026-08-24,13:03:50,2026-08-24 13:03:50,2026-08-24T18:46:37.954Z,2567053,,,,,,2026-08-24,13:46:37,2026-08-24 13:46:37,2567053
33892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,14,2,7,8,67, before ,445,285,1899584.9000000004,270.9125061035156,429.2124938964844,290.9125061035156,485.2624931335449,5,1,,,,,,,,,advanced,2,,,,,,2026-08-24T18:03:50.901Z,,2026-08-24,2026-08-24,13:03:50,2026-08-24 13:03:50,2026-08-24T18:46:37.954Z,2567053,,,,,,2026-08-24,13:46:37,2026-08-24 13:46:37,2567053
33946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,14,2,7,8,67, before ,445,285,1899638.6999999993,270.9125061035156,429.2124938964844,290.9125061035156,485.2624931335449,5,1,,,,,,,,,advanced,2,,,,,,2026-08-24T18:03:50.901Z,,2026-08-24,2026-08-24,13:03:50,2026-08-24 13:03:50,2026-08-24T18:46:37.954Z,2567053,,,,,,2026-08-24,13:46:37,2026-08-24 13:46:37,2567053
33994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,14,2,7,8,67, before ,445,285,1899686.5999999996,270.9125061035156,429.2124938964844,290.9125061035156,485.2624931335449,5,1,,,,,,,,,advanced,2,,,,,,2026-08-24T18:03:50.901Z,,2026-08-24,2026-08-24,13:03:50,2026-08-24 13:03:50,2026-08-24T18:46:37.954Z,2567053,,,,,,2026-08-24,13:46:37,2026-08-24 13:46:37,2567053
34042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,14,2,7,8,67, before ,445,285,1899734.9000000004,270.9125061035156,429.2124938964844,290.9125061035156,485.2624931335449,5,1,,,,,,,,,advanced,2,,,,,,2026-08-24T18:03:50.901Z,,2026-08-24,2026-08-24,13:03:50,2026-08-24 13:03:50,2026-08-24T18:46:37.954Z,2567053,,,,,,2026-08-24,13:46:37,2026-08-24 13:46:37,2567053
34097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,14,2,7,8,67, before ,448,285,1899789.5999999996,270.9125061035156,429.2124938964844,290.9125061035156,485.2624931335449,5,1,,,,,,,,,advanced,2,,,,,,2026-08-24T18:03:50.901Z,,2026-08-24,2026-08-24,13:03:50,2026-08-24 13:03:50,2026-08-24T18:46:37.954Z,2567053,,,,,,2026-08-24,13:46:37,2026-08-24 13:46:37,2567053
34147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,14,2,7,8,67, before ,452,286,1899839.4000000004,270.9125061035156,429.2124938964844,290.9125061035156,485.2624931335449,5,1,,,,,,,,,advanced,2,,,,,,2026-08-24T18:03:50.901Z,,2026-08-24,2026-08-24,13:03:50,2026-08-24 13:03:50,2026-08-24T18:46:37.954Z,2567053,,,,,,2026-08-24,13:46:37,2026-08-24 13:46:37,2567053
